branch,stage,id,mode,mae,ssim,lpips
P01,10,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:7b8d398a7ebb4855be7f8667f496e49f6da50d799b6d50b41b51c9887772a2f7,1,0.14212055504322052,0.5297394394874573,0.2594680190086365
P01,10,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:7b8d398a7ebb4855be7f8667f496e49f6da50d799b6d50b41b51c9887772a2f7,3,0.1428041160106659,0.5281270146369934,0.2617783844470978
P01,10,eafb7d0113d1039271f2475f622c54effa3acad314497c01b6ec55f1c290d0d8:7b8d398a7ebb4855be7f8667f496e49f6da50d799b6d50b41b51c9887772a2f7,6,0.14613395929336548,0.4931087791919708,0.2680579721927643
P02,1,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:6422f8b64f6844af7ea0f0e89708fb3d74ee0a666f76ec2348b819285fa81386,fixed,0.021788310259580612,0.8218111991882324,0.05121392011642456
P02,1,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:6422f8b64f6844af7ea0f0e89708fb3d74ee0a666f76ec2348b819285fa81386,1,0.021788310259580612,0.8218111991882324,0.05121392011642456
P02,1,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:6422f8b64f6844af7ea0f0e89708fb3d74ee0a666f76ec2348b819285fa81386,3,0.021788310259580612,0.8218111991882324,0.05121392011642456
P02,1,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:6422f8b64f6844af7ea0f0e89708fb3d74ee0a666f76ec2348b819285fa81386,6,0.021788310259580612,0.8218111991882324,0.05121392011642456
P02,2,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:a5c7b3cb7efb45f4dc0700bb8d69adc8d87c42f27de5157c2bc7ab6ec1eb5ae5,fixed,0.030131500214338303,0.7501263618469238,0.07663755118846893
P02,2,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:a5c7b3cb7efb45f4dc0700bb8d69adc8d87c42f27de5157c2bc7ab6ec1eb5ae5,1,0.029172420501708984,0.759837806224823,0.0755927711725235
P02,2,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:a5c7b3cb7efb45f4dc0700bb8d69adc8d87c42f27de5157c2bc7ab6ec1eb5ae5,3,0.029172420501708984,0.759837806224823,0.0755927711725235
P02,2,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:a5c7b3cb7efb45f4dc0700bb8d69adc8d87c42f27de5157c2bc7ab6ec1eb5ae5,6,0.029172420501708984,0.759837806224823,0.0755927711725235
P02,3,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:aeec89e4090fd037e749ed471be7f1378df4d528ceb7026ce935de3ecbaeb135,fixed,0.03669736534357071,0.6926453709602356,0.0967579185962677
P02,3,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:aeec89e4090fd037e749ed471be7f1378df4d528ceb7026ce935de3ecbaeb135,1,0.034644950181245804,0.7151186466217041,0.09539806097745895
P02,3,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:aeec89e4090fd037e749ed471be7f1378df4d528ceb7026ce935de3ecbaeb135,3,0.034902580082416534,0.7117676734924316,0.0966821014881134
P02,3,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:aeec89e4090fd037e749ed471be7f1378df4d528ceb7026ce935de3ecbaeb135,6,0.034902580082416534,0.7117676734924316,0.0966821014881134
P02,4,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:0cbd67590dc9d6924e97a9bdeb700db2988b50c0b9ef26d4d2c9f61609779fd2,fixed,0.04702320322394371,0.6243091225624084,0.12890082597732544
P02,4,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:0cbd67590dc9d6924e97a9bdeb700db2988b50c0b9ef26d4d2c9f61609779fd2,1,0.04364503175020218,0.663843035697937,0.12440567463636398
P02,4,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:0cbd67590dc9d6924e97a9bdeb700db2988b50c0b9ef26d4d2c9f61609779fd2,3,0.04364503175020218,0.663843035697937,0.12440567463636398
