branch,stage,sha256,scope,region,mode,dx,dy,ncc,mae,ssim,lpips,highpass_mae
P02,1,6422f8b64f6844af7ea0f0e89708fb3d74ee0a666f76ec2348b819285fa81386,face,whole_roi,6,0,0,0.9991848468780518,0.021788310259580612,0.8218111991882324,0.05121392011642456,
P02,2,a5c7b3cb7efb45f4dc0700bb8d69adc8d87c42f27de5157c2bc7ab6ec1eb5ae5,face,whole_roi,fixed,0,0,,0.030131500214338303,0.7501263618469238,0.07663755118846893,
P02,2,a5c7b3cb7efb45f4dc0700bb8d69adc8d87c42f27de5157c2bc7ab6ec1eb5ae5,face,whole_roi,1,0,-1,0.9910055994987488,0.029172420501708984,0.759837806224823,0.0755927711725235,
P02,2,a5c7b3cb7efb45f4dc0700bb8d69adc8d87c42f27de5157c2bc7ab6ec1eb5ae5,face,whole_roi,3,0,-1,0.9963617920875549,0.029172420501708984,0.759837806224823,0.0755927711725235,
P02,2,a5c7b3cb7efb45f4dc0700bb8d69adc8d87c42f27de5157c2bc7ab6ec1eb5ae5,face,whole_roi,6,0,-1,0.9978338479995728,0.029172420501708984,0.759837806224823,0.0755927711725235,
P02,3,aeec89e4090fd037e749ed471be7f1378df4d528ceb7026ce935de3ecbaeb135,face,whole_roi,fixed,0,0,,0.03669736534357071,0.6926453709602356,0.0967579185962677,
P02,3,aeec89e4090fd037e749ed471be7f1378df4d528ceb7026ce935de3ecbaeb135,face,whole_roi,1,-1,-1,0.9867196679115295,0.034644950181245804,0.7151186466217041,0.09539806097745895,
P02,3,aeec89e4090fd037e749ed471be7f1378df4d528ceb7026ce935de3ecbaeb135,face,whole_roi,3,0,-1,0.9939516186714172,0.034902580082416534,0.7117676734924316,0.0966821014881134,
P02,3,aeec89e4090fd037e749ed471be7f1378df4d528ceb7026ce935de3ecbaeb135,face,whole_roi,6,0,-1,0.9963228106498718,0.034902580082416534,0.7117676734924316,0.0966821014881134,
P02,4,0cbd67590dc9d6924e97a9bdeb700db2988b50c0b9ef26d4d2c9f61609779fd2,face,whole_roi,fixed,0,0,,0.04702320322394371,0.6243091225624084,0.12890082597732544,
P02,4,0cbd67590dc9d6924e97a9bdeb700db2988b50c0b9ef26d4d2c9f61609779fd2,face,whole_roi,1,-1,-2,0.9735998511314392,0.04364503175020218,0.663843035697937,0.12440567463636398,
P02,4,0cbd67590dc9d6924e97a9bdeb700db2988b50c0b9ef26d4d2c9f61609779fd2,face,whole_roi,3,-1,-2,0.9844709038734436,0.04364503175020218,0.663843035697937,0.12440567463636398,
P02,4,0cbd67590dc9d6924e97a9bdeb700db2988b50c0b9ef26d4d2c9f61609779fd2,face,whole_roi,6,-1,-2,0.9891636371612549,0.04364503175020218,0.663843035697937,0.12440567463636398,
P02,5,de3404e40c52884eca4700f7141ed4dd245b04347493aa7030ef33d844da63f6,face,whole_roi,fixed,0,0,,0.07907287031412125,0.4742469787597656,0.18909992277622223,
P02,5,de3404e40c52884eca4700f7141ed4dd245b04347493aa7030ef33d844da63f6,face,whole_roi,1,-3,-2,0.9141784310340881,0.06668028980493546,0.5924898982048035,0.17104068398475647,
P02,5,de3404e40c52884eca4700f7141ed4dd245b04347493aa7030ef33d844da63f6,face,whole_roi,3,-3,-2,0.9264702796936035,0.06668028980493546,0.5924898982048035,0.17104068398475647,
P02,5,de3404e40c52884eca4700f7141ed4dd245b04347493aa7030ef33d844da63f6,face,whole_roi,6,-3,-2,0.9343258142471313,0.06668028980493546,0.5924898982048035,0.17104068398475647,
P02,6,3759fd3429ad1b07fe4effade7e47d5815091fb64b3f65f40321767d4f936596,face,whole_roi,fixed,0,0,,0.0823577344417572,0.45751288533210754,0.20260554552078247,
P02,6,3759fd3429ad1b07fe4effade7e47d5815091fb64b3f65f40321767d4f936596,face,whole_roi,1,-3,-1,0.9090620875358582,0.0708954781293869,0.5689559578895569,0.18510954082012177,
P02,6,3759fd3429ad1b07fe4effade7e47d5815091fb64b3f65f40321767d4f936596,face,whole_roi,3,-3,-2,0.922936201095581,0.07125925272703171,0.5664193630218506,0.18683218955993652,
P02,6,3759fd3429ad1b07fe4effade7e47d5815091fb64b3f65f40321767d4f936596,face,whole_roi,6,-4,-2,0.9320483803749084,0.0719980001449585,0.5596897602081299,0.18665340542793274,
