id,arm,repeat,stage,basis,mode,dx,dy,ncc,mae,ssim,lpips
sequential-r1-s2,sequential,1,2,original,6,1,0,0.8933793902397156,0.11191211640834808,0.7867559790611267,0.103145070374012
sequential-r1-s2,sequential,1,2,previous,fixed,0,0,,0.11433271318674088,0.881751537322998,0.0861533135175705
sequential-r1-s2,sequential,1,2,previous,1,0,0,0.897640585899353,0.11433271318674088,0.881751537322998,0.0861533135175705
sequential-r1-s2,sequential,1,2,previous,3,0,0,0.8958947658538818,0.11433271318674088,0.881751537322998,0.0861533135175705
sequential-r1-s2,sequential,1,2,previous,6,1,1,0.8898003101348877,0.1229468584060669,0.7633278965950012,0.0965854823589325
sequential-r1-s3,sequential,1,3,original,fixed,0,0,,0.10798414796590805,0.7721786499023438,0.11374481767416
sequential-r1-s3,sequential,1,3,original,1,1,-1,0.8986719846725464,0.10769883543252945,0.7680051922798157,0.11520008742809296
sequential-r1-s3,sequential,1,3,original,3,1,-1,0.9013006091117859,0.10769883543252945,0.7680051922798157,0.11520008742809296
sequential-r1-s3,sequential,1,3,original,6,1,0,0.8983078598976135,0.10937584936618805,0.7506629824638367,0.11769364774227142
sequential-r1-s3,sequential,1,3,previous,fixed,0,0,,0.02051803097128868,0.9442649483680725,0.01268501952290535
sequential-r1-s3,sequential,1,3,previous,1,0,0,0.998587965965271,0.02051803097128868,0.9442649483680725,0.01268501952290535
sequential-r1-s3,sequential,1,3,previous,3,0,0,0.9993599057197571,0.02051803097128868,0.9442649483680725,0.01268501952290535
sequential-r1-s3,sequential,1,3,previous,6,0,0,0.9996281266212463,0.02051803097128868,0.9442649483680725,0.01268501952290535
no_change-r1-s1,no_change,1,1,original,fixed,0,0,,0.01782289519906044,0.9059755206108093,0.019770976155996323
no_change-r1-s1,no_change,1,1,original,1,0,0,0.9978156089782715,0.01782289519906044,0.9059755206108093,0.019770976155996323
no_change-r1-s1,no_change,1,1,original,3,0,0,0.9989652633666992,0.01782289519906044,0.9059755206108093,0.019770976155996323
no_change-r1-s1,no_change,1,1,original,6,0,0,0.9993312954902649,0.01782289519906044,0.9059755206108093,0.019770976155996323
no_change-r1-s1,no_change,1,1,previous,fixed,0,0,,0.01782289519906044,0.9059755206108093,0.019770976155996323
no_change-r1-s1,no_change,1,1,previous,1,0,0,0.9978156089782715,0.01782289519906044,0.9059755206108093,0.019770976155996323
no_change-r1-s1,no_change,1,1,previous,3,0,0,0.9989652633666992,0.01782289519906044,0.9059755206108093,0.019770976155996323
no_change-r1-s1,no_change,1,1,previous,6,0,0,0.9993312954902649,0.01782289519906044,0.9059755206108093,0.019770976155996323
no_change-r1-s2,no_change,1,2,original,fixed,0,0,,0.03041517734527588,0.8510299324989319,0.04371786490082741
no_change-r1-s2,no_change,1,2,original,1,0,1,0.9935175776481628,0.029272234067320824,0.8533754348754883,0.04171759635210037
no_change-r1-s2,no_change,1,2,original,3,0,1,0.996545135974884,0.029272234067320824,0.8533754348754883,0.04171759635210037
no_change-r1-s2,no_change,1,2,original,6,0,1,0.9976034164428711,0.029272234067320824,0.8533754348754883,0.04171759635210037
no_change-r1-s2,no_change,1,2,previous,fixed,0,0,,0.018462948501110077,0.9283939003944397,0.019900359213352203
no_change-r1-s2,no_change,1,2,previous,1,0,1,0.9977332949638367,0.017158247530460358,0.9307350516319275,0.01789056323468685
no_change-r1-s2,no_change,1,2,previous,3,0,1,0.9988495707511902,0.017158247530460358,0.9307350516319275,0.01789056323468685
no_change-r1-s2,no_change,1,2,previous,6,0,1,0.9991981983184814,0.017158247530460358,0.9307350516319275,0.01789056323468685
no_change-r1-s3,no_change,1,3,original,fixed,0,0,,0.0380161851644516,0.828726053237915,0.06526981294155121
no_change-r1-s3,no_change,1,3,original,1,0,0,0.9893718957901001,0.0380161851644516,0.828726053237915,0.06526981294155121
no_change-r1-s3,no_change,1,3,original,3,0,1,0.9937286376953125,0.03817252442240715,0.8189177513122559,0.06685376167297363
no_change-r1-s3,no_change,1,3,original,6,0,1,0.9954673647880554,0.03817252442240715,0.8189177513122559,0.06685376167297363
no_change-r1-s3,no_change,1,3,previous,fixed,0,0,,0.014417516998946667,0.9532508254051208,0.015568108297884464
no_change-r1-s3,no_change,1,3,previous,1,0,0,0.9983174204826355,0.014417516998946667,0.9532508254051208,0.015568108297884464
no_change-r1-s3,no_change,1,3,previous,3,0,0,0.9991100430488586,0.014417516998946667,0.9532508254051208,0.015568108297884464
no_change-r1-s3,no_change,1,3,previous,6,0,0,0.9993934631347656,0.014417516998946667,0.9532508254051208,0.015568108297884464
batch-r2-s1,batch,2,1,original,fixed,0,0,,0.0721205398440361,0.8754526972770691,0.07662647217512131
batch-r2-s1,batch,2,1,original,1,0,0,0.9454670548439026,0.0721205398440361,0.8754526972770691,0.07662647217512131
batch-r2-s1,batch,2,1,original,3,0,0,0.94493168592453,0.0721205398440361,0.8754526972770691,0.07662647217512131
batch-r2-s1,batch,2,1,original,6,0,0,0.9417572617530823,0.0721205398440361,0.8754526972770691,0.07662647217512131
batch-r2-s1,batch,2,1,previous,fixed,0,0,,0.0721205398440361,0.8754526972770691,0.07662647217512131
batch-r2-s1,batch,2,1,previous,1,0,0,0.9454670548439026,0.0721205398440361,0.8754526972770691,0.07662647217512131
batch-r2-s1,batch,2,1,previous,3,0,0,0.94493168592453,0.0721205398440361,0.8754526972770691,0.07662647217512131
batch-r2-s1,batch,2,1,previous,6,0,0,0.9417572617530823,0.0721205398440361,0.8754526972770691,0.07662647217512131
sequential-r2-s1,sequential,2,1,original,fixed,0,0,,0.024050628766417503,0.8887695670127869,0.02608671598136425
sequential-r2-s1,sequential,2,1,original,1,1,0,0.994454562664032,0.024886449798941612,0.8692535758018494,0.02670881152153015
sequential-r2-s1,sequential,2,1,original,3,1,0,0.9967023730278015,0.024886449798941612,0.8692535758018494,0.02670881152153015
sequential-r2-s1,sequential,2,1,original,6,1,0,0.9972126483917236,0.024886449798941612,0.8692535758018494,0.02670881152153015
sequential-r2-s1,sequential,2,1,previous,fixed,0,0,,0.024050628766417503,0.8887695670127869,0.02608671598136425
sequential-r2-s1,sequential,2,1,previous,1,1,0,0.994454562664032,0.024886449798941612,0.8692535758018494,0.02670881152153015
sequential-r2-s1,sequential,2,1,previous,3,1,0,0.9967023730278015,0.024886449798941612,0.8692535758018494,0.02670881152153015
sequential-r2-s1,sequential,2,1,previous,6,1,0,0.9972126483917236,0.024886449798941612,0.8692535758018494,0.02670881152153015
sequential-r2-s2,sequential,2,2,original,fixed,0,0,,0.10127406567335129,0.8137378692626953,0.09757640957832336
sequential-r2-s2,sequential,2,2,original,1,0,0,0.8863731026649475,0.10127406567335129,0.8137378692626953,0.09757640957832336
sequential-r2-s2,sequential,2,2,original,3,0,0,0.8858356475830078,0.10127406567335129,0.8137378692626953,0.09757640957832336
sequential-r2-s2,sequential,2,2,original,6,0,1,0.880233108997345,0.10563220083713531,0.7553101181983948,0.10455533862113953
sequential-r2-s2,sequential,2,2,previous,fixed,0,0,,0.10150483250617981,0.8311077952384949,0.08476968854665756
sequential-r2-s2,sequential,2,2,previous,1,-1,0,0.8896518349647522,0.09701083600521088,0.8768135905265808,0.07941179722547531
sequential-r2-s2,sequential,2,2,previous,3,-1,0,0.8861189484596252,0.09701083600521088,0.8768135905265808,0.07941179722547531
sequential-r2-s2,sequential,2,2,previous,6,-1,1,0.8792250752449036,0.10402046144008636,0.7922202944755554,0.0910751223564148
sequential-r2-s3,sequential,2,3,original,fixed,0,0,,0.10054031759500504,0.7745588421821594,0.10811541229486465
sequential-r2-s3,sequential,2,3,original,1,0,-1,0.8962522149085999,0.09941256791353226,0.7861959934234619,0.106566421687603
