id,arm,repeat,stage,mode,region,mae,ssim,highpass_mae
sequential-r1-s2,sequential,1,2,fixed,weighted_three_regions,0.028562282582416255,0.8128628653110103,0.013479315971626955
sequential-r1-s2,sequential,1,2,fixed,forehead,0.030234722420573235,0.7927066683769226,0.013894513249397278
sequential-r1-s2,sequential,1,2,fixed,cheek_viewer_left,0.02804751507937908,0.8393167853355408,0.014195270836353302
sequential-r1-s2,sequential,1,2,fixed,cheek_viewer_right,0.024233581498265266,0.8486650586128235,0.011455460451543331
sequential-r1-s2,sequential,1,2,1,weighted_three_regions,0.028562282582416255,0.8128628653110103,0.013479315971626955
sequential-r1-s2,sequential,1,2,1,forehead,0.030234722420573235,0.7927066683769226,0.013894513249397278
sequential-r1-s2,sequential,1,2,1,cheek_viewer_left,0.02804751507937908,0.8393167853355408,0.014195270836353302
sequential-r1-s2,sequential,1,2,1,cheek_viewer_right,0.024233581498265266,0.8486650586128235,0.011455460451543331
sequential-r1-s2,sequential,1,2,3,weighted_three_regions,0.030379659174119725,0.7939069108274331,0.014588363064343439
sequential-r1-s2,sequential,1,2,3,forehead,0.031706634908914566,0.7730000019073486,0.015395300462841988
sequential-r1-s2,sequential,1,2,3,cheek_viewer_left,0.03245927765965462,0.8247916102409363,0.014071025885641575
sequential-r1-s2,sequential,1,2,3,cheek_viewer_right,0.024146046489477158,0.827066957950592,0.01280239038169384
sequential-r1-s2,sequential,1,2,6,weighted_three_regions,0.030379659174119725,0.7939069108274331,0.014588363064343439
sequential-r1-s2,sequential,1,2,6,forehead,0.031706634908914566,0.7730000019073486,0.015395300462841988
sequential-r1-s2,sequential,1,2,6,cheek_viewer_left,0.03245927765965462,0.8247916102409363,0.014071025885641575
sequential-r1-s2,sequential,1,2,6,cheek_viewer_right,0.024146046489477158,0.827066957950592,0.01280239038169384
sequential-r1-s3,sequential,1,3,fixed,weighted_three_regions,0.03154209867119789,0.7825757657152892,0.014395646261160865
sequential-r1-s3,sequential,1,3,fixed,forehead,0.03053566813468933,0.7648410797119141,0.014576626010239124
sequential-r1-s3,sequential,1,3,fixed,cheek_viewer_left,0.034284330904483795,0.806725263595581,0.015392594039440155
sequential-r1-s3,sequential,1,3,fixed,cheek_viewer_right,0.03141048178076744,0.813068687915802,0.012742990627884865
sequential-r1-s3,sequential,1,3,1,weighted_three_regions,0.033222605599200025,0.7508149493245914,0.015550239351304139
sequential-r1-s3,sequential,1,3,1,forehead,0.03179645538330078,0.7276188731193542,0.016201796010136604
sequential-r1-s3,sequential,1,3,1,cheek_viewer_left,0.03686585649847984,0.7915825843811035,0.015033639967441559
sequential-r1-s3,sequential,1,3,1,cheek_viewer_right,0.03330902010202408,0.7801043391227722,0.014219405129551888
sequential-r1-s3,sequential,1,3,3,weighted_three_regions,0.033222605599200025,0.7508149493245914,0.015550239351304139
sequential-r1-s3,sequential,1,3,3,forehead,0.03179645538330078,0.7276188731193542,0.016201796010136604
sequential-r1-s3,sequential,1,3,3,cheek_viewer_left,0.03686585649847984,0.7915825843811035,0.015033639967441559
sequential-r1-s3,sequential,1,3,3,cheek_viewer_right,0.03330902010202408,0.7801043391227722,0.014219405129551888
sequential-r1-s3,sequential,1,3,6,weighted_three_regions,0.03331795368124457,0.7615400614506409,0.015490582927184946
sequential-r1-s3,sequential,1,3,6,forehead,0.03224257007241249,0.7373461723327637,0.01652311347424984
sequential-r1-s3,sequential,1,3,6,cheek_viewer_left,0.03569699451327324,0.8022667765617371,0.014420950785279274
sequential-r1-s3,sequential,1,3,6,cheek_viewer_right,0.03379727154970169,0.7941600680351257,0.013663933612406254
no_change-r1-s1,no_change,1,1,fixed,weighted_three_regions,0.0157562468200922,0.8499393232014715,0.011793606410570005
no_change-r1-s1,no_change,1,1,fixed,forehead,0.016104547306895256,0.8265908360481262,0.01252662856131792
no_change-r1-s1,no_change,1,1,fixed,cheek_viewer_left,0.01598108373582363,0.8963701128959656,0.010921032167971134
no_change-r1-s1,no_change,1,1,fixed,cheek_viewer_right,0.014481209218502045,0.8731958270072937,0.010624181479215622
no_change-r1-s1,no_change,1,1,1,weighted_three_regions,0.0157562468200922,0.8499393232014715,0.011793606410570005
no_change-r1-s1,no_change,1,1,1,forehead,0.016104547306895256,0.8265908360481262,0.01252662856131792
no_change-r1-s1,no_change,1,1,1,cheek_viewer_left,0.01598108373582363,0.8963701128959656,0.010921032167971134
no_change-r1-s1,no_change,1,1,1,cheek_viewer_right,0.014481209218502045,0.8731958270072937,0.010624181479215622
no_change-r1-s1,no_change,1,1,3,weighted_three_regions,0.0157562468200922,0.8499393232014715,0.011793606410570005
no_change-r1-s1,no_change,1,1,3,forehead,0.016104547306895256,0.8265908360481262,0.01252662856131792
no_change-r1-s1,no_change,1,1,3,cheek_viewer_left,0.01598108373582363,0.8963701128959656,0.010921032167971134
no_change-r1-s1,no_change,1,1,3,cheek_viewer_right,0.014481209218502045,0.8731958270072937,0.010624181479215622
no_change-r1-s1,no_change,1,1,6,weighted_three_regions,0.0157562468200922,0.8499393232014715,0.011793606410570005
no_change-r1-s1,no_change,1,1,6,forehead,0.016104547306895256,0.8265908360481262,0.01252662856131792
no_change-r1-s1,no_change,1,1,6,cheek_viewer_left,0.01598108373582363,0.8963701128959656,0.010921032167971134
no_change-r1-s1,no_change,1,1,6,cheek_viewer_right,0.014481209218502045,0.8731958270072937,0.010624181479215622
no_change-r1-s2,no_change,1,2,fixed,weighted_three_regions,0.023983851787360275,0.8119954220728373,0.013150557239046868
no_change-r1-s2,no_change,1,2,fixed,forehead,0.02455388382077217,0.7939860820770264,0.013595464639365673
no_change-r1-s2,no_change,1,2,fixed,cheek_viewer_left,0.0231438260525465,0.8598020672798157,0.012807924300432205
no_change-r1-s2,no_change,1,2,fixed,cheek_viewer_right,0.023256108164787292,0.8160954117774963,0.01223042793571949
no_change-r1-s2,no_change,1,2,1,weighted_three_regions,0.02405824655776515,0.8002140000813422,0.013717220020206535
no_change-r1-s2,no_change,1,2,1,forehead,0.023673254996538162,0.7784438729286194,0.014024014584720135
no_change-r1-s2,no_change,1,2,1,cheek_viewer_left,0.02464899607002735,0.8475468754768372,0.01381711196154356
no_change-r1-s2,no_change,1,2,1,cheek_viewer_right,0.0245234202593565,0.8172358870506287,0.012704545632004738
no_change-r1-s2,no_change,1,2,3,weighted_three_regions,0.02405824655776515,0.8002140000813422,0.013717220020206535
no_change-r1-s2,no_change,1,2,3,forehead,0.023673254996538162,0.7784438729286194,0.014024014584720135
no_change-r1-s2,no_change,1,2,3,cheek_viewer_left,0.02464899607002735,0.8475468754768372,0.01381711196154356
no_change-r1-s2,no_change,1,2,3,cheek_viewer_right,0.0245234202593565,0.8172358870506287,0.012704545632004738
no_change-r1-s2,no_change,1,2,6,weighted_three_regions,0.02405824655776515,0.8002140000813422,0.013717220020206535
no_change-r1-s2,no_change,1,2,6,forehead,0.023673254996538162,0.7784438729286194,0.014024014584720135
no_change-r1-s2,no_change,1,2,6,cheek_viewer_left,0.02464899607002735,0.8475468754768372,0.01381711196154356
no_change-r1-s2,no_change,1,2,6,cheek_viewer_right,0.0245234202593565,0.8172358870506287,0.012704545632004738
no_change-r1-s3,no_change,1,3,fixed,weighted_three_regions,0.032961746524362005,0.7833196783739507,0.01391963003531975
no_change-r1-s3,no_change,1,3,fixed,forehead,0.03373105823993683,0.7642238736152649,0.014375963248312473
no_change-r1-s3,no_change,1,3,fixed,cheek_viewer_left,0.03178320825099945,0.8293965458869934,0.013807185925543308
no_change-r1-s3,no_change,1,3,fixed,cheek_viewer_right,0.03203003853559494,0.7929906845092773,0.012707008980214596
no_change-r1-s3,no_change,1,3,1,weighted_three_regions,0.032961746524362005,0.7833196783739507,0.01391963003531975
no_change-r1-s3,no_change,1,3,1,forehead,0.03373105823993683,0.7642238736152649,0.014375963248312473
no_change-r1-s3,no_change,1,3,1,cheek_viewer_left,0.03178320825099945,0.8293965458869934,0.013807185925543308
no_change-r1-s3,no_change,1,3,1,cheek_viewer_right,0.03203003853559494,0.7929906845092773,0.012707008980214596
no_change-r1-s3,no_change,1,3,3,weighted_three_regions,0.0330870841180577,0.7688700572662114,0.01459306534160586
no_change-r1-s3,no_change,1,3,3,forehead,0.032800715416669846,0.7491233944892883,0.014842614531517029
no_change-r1-s3,no_change,1,3,3,cheek_viewer_left,0.033558983355760574,0.8114333748817444,0.015142526477575302
no_change-r1-s3,no_change,1,3,3,cheek_viewer_right,0.03339655324816704,0.7847368717193604,0.013242613524198532
no_change-r1-s3,no_change,1,3,6,weighted_three_regions,0.0330870841180577,0.7688700572662114,0.01459306534160586
no_change-r1-s3,no_change,1,3,6,forehead,0.032800715416669846,0.7491233944892883,0.014842614531517029
no_change-r1-s3,no_change,1,3,6,cheek_viewer_left,0.033558983355760574,0.8114333748817444,0.015142526477575302
no_change-r1-s3,no_change,1,3,6,cheek_viewer_right,0.03339655324816704,0.7847368717193604,0.013242613524198532
batch-r2-s1,batch,2,1,fixed,weighted_three_regions,0.017415225017158423,0.8396489338560419,0.012343285301809802
batch-r2-s1,batch,2,1,fixed,forehead,0.017301369458436966,0.812997579574585,0.01313827745616436
batch-r2-s1,batch,2,1,fixed,cheek_viewer_left,0.02225939743220806,0.8793370723724365,0.011817765422165394
batch-r2-s1,batch,2,1,fixed,cheek_viewer_right,0.012299642898142338,0.8815538287162781,0.010601571761071682
batch-r2-s1,batch,2,1,1,weighted_three_regions,0.017415225017158423,0.8396489338560419,0.012343285301809802
batch-r2-s1,batch,2,1,1,forehead,0.017301369458436966,0.812997579574585,0.01313827745616436
batch-r2-s1,batch,2,1,1,cheek_viewer_left,0.02225939743220806,0.8793370723724365,0.011817765422165394
batch-r2-s1,batch,2,1,1,cheek_viewer_right,0.012299642898142338,0.8815538287162781,0.010601571761071682
batch-r2-s1,batch,2,1,3,weighted_three_regions,0.017415225017158423,0.8396489338560419,0.012343285301809802
batch-r2-s1,batch,2,1,3,forehead,0.017301369458436966,0.812997579574585,0.01313827745616436
batch-r2-s1,batch,2,1,3,cheek_viewer_left,0.02225939743220806,0.8793370723724365,0.011817765422165394
batch-r2-s1,batch,2,1,3,cheek_viewer_right,0.012299642898142338,0.8815538287162781,0.010601571761071682
batch-r2-s1,batch,2,1,6,weighted_three_regions,0.017415225017158423,0.8396489338560419,0.012343285301809802
batch-r2-s1,batch,2,1,6,forehead,0.017301369458436966,0.812997579574585,0.01313827745616436
batch-r2-s1,batch,2,1,6,cheek_viewer_left,0.02225939743220806,0.8793370723724365,0.011817765422165394
