id,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
SBP-r1-s3,SBP,1,3,P,SBP,original,skin,cheek_viewer_right,3,0.03735216334462166,0.8300508856773376,,0.012113966979086399
SBP-r1-s3,SBP,1,3,P,SBP,original,face,whole_roi,6,0.12547576427459717,0.7848126292228699,0.11189235746860504,
SBP-r1-s3,SBP,1,3,P,SBP,original,skin,weighted_three_regions,6,0.05590772458297365,0.7922573811031024,,0.013928804643013899
SBP-r1-s3,SBP,1,3,P,SBP,original,skin,forehead,6,0.06321772187948227,0.7722296118736267,,0.01425942126661539
SBP-r1-s3,SBP,1,3,P,SBP,original,skin,cheek_viewer_left,6,0.05508870258927345,0.818131148815155,,0.014673388563096523
SBP-r1-s3,SBP,1,3,P,SBP,original,skin,cheek_viewer_right,6,0.03537776321172714,0.8283063769340515,,0.012120945379137993
SBP-r1-s3,SBP,1,3,P,SBP,previous,face,whole_roi,fixed,0.016147060319781303,0.935915470123291,0.01752403937280178,
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,weighted_three_regions,fixed,0.012509803988916032,0.9300703389491166,,0.007288718048811835
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,forehead,fixed,0.012190934270620346,0.9196939468383789,,0.00788127165287733
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,cheek_viewer_left,fixed,0.011322060599923134,0.9542247653007507,,0.006376310717314482
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,cheek_viewer_right,fixed,0.014781746082007885,0.9363443851470947,,0.006576313637197018
SBP-r1-s3,SBP,1,3,P,SBP,previous,face,whole_roi,1,0.016147060319781303,0.935915470123291,0.01752403937280178,
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,weighted_three_regions,1,0.012509803988916032,0.9300703389491166,,0.007288718048811835
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,forehead,1,0.012190934270620346,0.9196939468383789,,0.00788127165287733
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,cheek_viewer_left,1,0.011322060599923134,0.9542247653007507,,0.006376310717314482
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,cheek_viewer_right,1,0.014781746082007885,0.9363443851470947,,0.006576313637197018
SBP-r1-s3,SBP,1,3,P,SBP,previous,face,whole_roi,3,0.017082640901207924,0.9231107831001282,0.017312567681074142,
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,weighted_three_regions,3,0.014324683300493395,0.9045980553986326,,0.009598308825755821
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,forehead,3,0.013294289819896221,0.8958095908164978,,0.009772985242307186
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,cheek_viewer_left,3,0.01840699464082718,0.9127710461616516,,0.010646834038197994
