id,person,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,weighted_three_regions,6,0.01418992687783697,0.8530054183170971,,0.011791220580172889
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,forehead,6,0.014063555747270584,0.8290565609931946,,0.012741491198539734
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,cheek_viewer_left,6,0.01260331366211176,0.8961189389228821,,0.010603477247059345
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,original,skin,cheek_viewer_right,6,0.016345705837011337,0.8820651173591614,,0.010338840074837208
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,face,whole_roi,fixed,0.01607006974518299,0.8994677662849426,0.02255358174443245,
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,weighted_three_regions,fixed,0.01418992687783697,0.8530054183170971,,0.011791220580172889
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,forehead,fixed,0.014063555747270584,0.8290565609931946,,0.012741491198539734
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,cheek_viewer_left,fixed,0.01260331366211176,0.8961189389228821,,0.010603477247059345
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,cheek_viewer_right,fixed,0.016345705837011337,0.8820651173591614,,0.010338840074837208
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,face,whole_roi,1,0.01607006974518299,0.8994677662849426,0.02255358174443245,
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,weighted_three_regions,1,0.01418992687783697,0.8530054183170971,,0.011791220580172889
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,forehead,1,0.014063555747270584,0.8290565609931946,,0.012741491198539734
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,cheek_viewer_left,1,0.01260331366211176,0.8961189389228821,,0.010603477247059345
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,cheek_viewer_right,1,0.016345705837011337,0.8820651173591614,,0.010338840074837208
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,face,whole_roi,3,0.01607006974518299,0.8994677662849426,0.02255358174443245,
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,weighted_three_regions,3,0.01418992687783697,0.8530054183170971,,0.011791220580172889
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,forehead,3,0.014063555747270584,0.8290565609931946,,0.012741491198539734
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,cheek_viewer_left,3,0.01260331366211176,0.8961189389228821,,0.010603477247059345
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,cheek_viewer_right,3,0.016345705837011337,0.8820651173591614,,0.010338840074837208
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,face,whole_roi,6,0.01607006974518299,0.8994677662849426,0.02255358174443245,
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,weighted_three_regions,6,0.01418992687783697,0.8530054183170971,,0.011791220580172889
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,forehead,6,0.014063555747270584,0.8290565609931946,,0.012741491198539734
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,cheek_viewer_left,6,0.01260331366211176,0.8961189389228821,,0.010603477247059345
P04-gray_cable-r1,P04,gray_cable,1,1,gray_cable,gray_cable,previous,skin,cheek_viewer_right,6,0.016345705837011337,0.8820651173591614,,0.010338840074837208
P05-gray_cable-r1,P05,gray_cable,1,1,gray_cable,gray_cable,original,face,whole_roi,fixed,0.01790308579802513,0.8896793723106384,0.02678808756172657,
P05-gray_cable-r1,P05,gray_cable,1,1,gray_cable,gray_cable,original,skin,weighted_three_regions,fixed,0.012865724699462162,0.8905207953954998,,0.009531618369852795
P05-gray_cable-r1,P05,gray_cable,1,1,gray_cable,gray_cable,original,skin,forehead,fixed,0.01163807138800621,0.8833599090576172,,0.009411321952939034
P05-gray_cable-r1,P05,gray_cable,1,1,gray_cable,gray_cable,original,skin,cheek_viewer_left,fixed,0.01192946545779705,0.905461311340332,,0.00910288654267788
P05-gray_cable-r1,P05,gray_cable,1,1,gray_cable,gray_cable,original,skin,cheek_viewer_right,fixed,0.01830337941646576,0.9066107869148254,,0.010401437059044838
P05-gray_cable-r1,P05,gray_cable,1,1,gray_cable,gray_cable,original,face,whole_roi,1,0.01790308579802513,0.8896793723106384,0.02678808756172657,
